"","id","l","y","costofl","sales","k","indcode","sector","age"
"280",280,39,171,373,927,1237,92,"services",10
"281",281,64,388,354,746,312,45,"services",7
"282",282,140,1603,850,12306,5499,51,"services",19
"283",283,144,1560,1141,3637,3877,33,"manufacturing",18
"284",284,104,2786,1180,16355,3011,45,"services",8
"285",285,100,1948,628,9820,3557,60,"services",11
"286",286,19,550,206,5558,2755,51,"services",9
"287",287,85,1594,545,3787,3396,60,"services",9
"288",288,32,341,309,1127,354,45,"services",11
"289",289,124,762,644,3045,2174,45,"services",10
"290",290,197,6023,1844,11106,5968,60,"services",7
"291",291,312,1823,1480,4788,1782,25,"manufacturing",8
"292",292,18,110,74,943,534,51,"services",5
"293",293,33,420,295,4914,1964,51,"services",12
"294",294,223,1315,934,8557,6528,52,"services",8
"295",295,211,2738,1771,9603,7005,31,"manufacturing",8
"296",296,103,1205,865,3503,1408,31,"manufacturing",9
"297",297,448,1517,2507,8170,4070,45,"services",10
